Mon,Tue,Wed,Thurs,Fri,Sat,Sun,time,intersection_id,lane_id,volume,velocity,avg_time_passing
1,0,0,0,0,0,0,0,1,1,47,14,34
1,0,0,0,0,0,0,1,1,2,38,8,48
1,0,0,0,0,0,0,2,1,3,23,12,19
1,0,0,0,0,0,0,3,1,4,30,6,50
1,0,0,0,0,0,0,4,1,1,6,2,30
1,0,0,0,0,0,0,5,1,2,35,11,32
1,0,0,0,0,0,0,6,1,3,18,12,15
1,0,0,0,0,0,0,7,1,4,40,5,80
1,0,0,0,0,0,0,8,1,1,39,3,129
1,0,0,0,0,0,0,9,1,2,17,10,17
1,0,0,0,0,0,0,10,1,3,48,12,40
1,0,0,0,0,0,0,11,1,4,31,2,154
1,0,0,0,0,0,0,12,1,1,2,8,3
1,0,0,0,0,0,0,13,1,2,12,4,30
1,0,0,0,0,0,0,14,1,3,30,11,27
1,0,0,0,0,0,0,15,1,4,26,9,29
1,0,0,0,0,0,0,16,1,1,22,12,19
1,0,0,0,0,0,0,17,1,2,33,14,24
1,0,0,0,0,0,0,18,1,3,34,12,29
1,0,0,0,0,0,0,19,1,4,41,4,102
1,0,0,0,0,0,0,20,1,1,9,11,9
1,0,0,0,0,0,0,21,1,2,32,3,106
1,0,0,0,0,0,0,22,1,3,25,9,28
1,0,0,0,0,0,0,23,1,4,41,8,51
1,0,0,0,0,0,0,24,1,1,47,9,52
1,0,0,0,0,0,0,25,1,2,2,8,3
1,0,0,0,0,0,0,26,1,3,11,9,13
1,0,0,0,0,0,0,27,1,4,3,10,3
1,0,0,0,0,0,0,28,1,1,14,7,20
1,0,0,0,0,0,0,29,1,2,13,5,26
1,0,0,0,0,0,0,30,1,3,10,8,13
1,0,0,0,0,0,0,31,1,4,44,7,63
1,0,0,0,0,0,0,32,1,1,30,10,30
1,0,0,0,0,0,0,33,1,2,3,10,3
1,0,0,0,0,0,0,34,1,3,30,7,43
1,0,0,0,0,0,0,35,1,4,35,12,29
1,0,0,0,0,0,0,36,1,1,33,13,26
1,0,0,0,0,0,0,37,1,2,19,9,21
1,0,0,0,0,0,0,38,1,3,38,3,126
1,0,0,0,0,0,0,39,1,4,38,12,32
1,0,0,0,0,0,0,40,1,1,46,8,57
1,0,0,0,0,0,0,41,1,2,31,14,22
1,0,0,0,0,0,0,42,1,3,2,6,4
1,0,0,0,0,0,0,43,1,4,25,11,23
1,0,0,0,0,0,0,44,1,1,49,3,162
1,0,0,0,0,0,0,45,1,2,5,9,6
1,0,0,0,0,0,0,46,1,3,9,11,9
